bin_start_leaf_index	FliJ	FliH	MotE	FliK	FliG
16100	46.0	46.0	19.0	0.0	3.0
16150	40.0	45.0	8.0	0.0	3.0
16200	45.0	49.0	24.0	0.0	4.0
16250	48.0	46.0	4.0	3.0	2.0
16300	44.0	44.0	15.0	0.0	3.0
16350	50.0	47.0	21.0	0.0	7.0
16400	49.0	45.0	4.0	0.0	3.0
16450	43.0	49.0	16.0	0.0	11.0
16500	48.0	45.0	16.0	0.0	7.0
16550	38.0	48.0	9.0	0.0	1.0
16600	40.0	38.0	2.0	0.0	0.0
16650	48.0	49.0	4.0	0.0	5.0
16700	46.0	42.0	2.0	0.0	2.0
16750	40.0	42.0	8.0	6.0	11.0
16800	49.0	49.0	33.0	0.0	0.0
16850	47.0	46.0	37.0	0.0	1.0
16900	48.0	49.0	0.0	0.0	0.0
16950	50.0	47.0	0.0	0.0	1.0
17000	46.0	45.0	0.0	0.0	0.0
17050	49.0	50.0	0.0	0.0	2.0
17100	48.0	49.0	0.0	0.0	1.0
17150	40.0	43.0	0.0	0.0	1.0
17200	46.0	46.0	16.0	0.0	0.0
17250	49.0	47.0	44.0	0.0	0.0
17300	40.0	48.0	34.0	0.0	13.0
17350	48.0	29.0	0.0	0.0	0.0
17400	50.0	36.0	0.0	0.0	0.0
17450	21.0	15.0	6.0	0.0	4.0
17500	0.0	14.0	0.0	0.0	0.0
17550	0.0	40.0	0.0	0.0	0.0
17600	12.0	22.0	6.0	0.0	5.0
17650	0.0	0.0	0.0	0.0	0.0
17700	0.0	0.0	0.0	0.0	0.0
17750	0.0	0.0	0.0	0.0	0.0
17800	0.0	0.0	0.0	0.0	0.0
17850	0.0	0.0	0.0	0.0	0.0
17900	0.0	0.0	0.0	0.0	0.0
17950	0.0	0.0	0.0	0.0	0.0
18000	0.0	0.0	0.0	0.0	0.0
18050	0.0	0.0	0.0	0.0	0.0
18100	1.0	7.0	1.0	0.0	0.0
18150	1.0	47.0	0.0	0.0	0.0
18200	39.0	47.0	0.0	19.0	3.0
18250	49.0	48.0	0.0	12.0	7.0
18300	48.0	47.0	0.0	36.0	5.0
18350	50.0	50.0	0.0	32.0	0.0
18400	50.0	49.0	0.0	36.0	0.0
18450	50.0	50.0	0.0	41.0	0.0
18500	50.0	48.0	0.0	26.0	0.0
18550	49.0	49.0	0.0	34.0	1.0
18600	50.0	50.0	0.0	35.0	0.0
18650	50.0	49.0	0.0	39.0	1.0
18700	50.0	47.0	0.0	22.0	7.0
18750	45.0	45.0	2.0	8.0	2.0
18800	40.0	47.0	1.0	0.0	2.0
18850	22.0	36.0	0.0	0.0	3.0
18900	0.0	0.0	0.0	0.0	0.0
18950	0.0	0.0	0.0	0.0	0.0
19000	0.0	0.0	0.0	0.0	0.0
19050	0.0	0.0	0.0	0.0	0.0
19100	0.0	0.0	0.0	0.0	0.0
19150	0.0	0.0	0.0	0.0	0.0
19200	0.0	0.0	0.0	0.0	0.0
19250	0.0	0.0	0.0	0.0	0.0
19300	1.0	0.0	0.0	0.0	0.0
19350	42.0	46.0	0.0	3.0	9.0
19400	48.0	50.0	0.0	0.0	7.0
19450	48.0	41.0	1.0	0.0	3.0
19500	42.0	48.0	0.0	0.0	0.0
19550	47.0	49.0	24.0	0.0	1.0
19600	48.0	48.0	32.0	0.0	3.0
19650	47.0	46.0	46.0	0.0	1.0
19700	45.0	49.0	38.0	0.0	0.0
19750	46.0	50.0	38.0	0.0	1.0
19800	48.0	48.0	42.0	0.0	2.0
19850	47.0	48.0	36.0	0.0	1.0
19900	49.0	47.0	8.0	18.0	7.0
19950	45.0	47.0	0.0	0.0	3.0
20000	48.0	49.0	0.0	0.0	0.0
20050	46.0	49.0	0.0	0.0	1.0
20100	49.0	48.0	0.0	0.0	3.0
20150	31.0	48.0	6.0	1.0	2.0
20200	29.0	50.0	0.0	2.0	0.0
20250	44.0	45.0	0.0	1.0	0.0
20300	46.0	49.0	0.0	1.0	0.0
20350	46.0	47.0	2.0	12.0	2.0
20400	45.0	49.0	0.0	0.0	3.0
20450	39.0	43.0	9.0	1.0	3.0
20500	50.0	50.0	4.0	0.0	40.0
20550	45.0	48.0	4.0	0.0	17.0
20600	49.0	50.0	1.0	0.0	3.0
20650	46.0	47.0	10.0	0.0	1.0
20700	42.0	47.0	13.0	0.0	5.0
20750	45.0	44.0	1.0	0.0	0.0
20800	39.0	46.0	3.0	0.0	2.0
20850	46.0	49.0	9.0	1.0	6.0
20900	49.0	47.0	9.0	0.0	0.0
20950	47.0	50.0	0.0	0.0	1.0
21000	20.0	41.0	1.0	0.0	3.0
21050	48.0	50.0	1.0	0.0	2.0
21100	46.0	48.0	6.0	0.0	1.0
21150	40.0	40.0	28.0	0.0	4.0
21200	4.0	50.0	24.0	0.0	13.0
21250	28.0	47.0	36.0	1.0	2.0
21300	48.0	46.0	25.0	0.0	17.0
21350	50.0	49.0	41.0	0.0	10.0
21400	46.0	49.0	40.0	0.0	3.0
21450	41.0	45.0	24.0	2.0	3.0
21500	47.0	47.0	32.0	1.0	5.0
21550	46.0	48.0	29.0	0.0	0.0
21600	45.0	47.0	29.0	0.0	1.0
21650	37.0	47.0	20.0	0.0	2.0
21700	50.0	50.0	47.0	0.0	0.0
21750	32.0	46.0	30.0	0.0	2.0
21800	28.0	48.0	21.0	0.0	3.0
21850	50.0	43.0	38.0	0.0	3.0
21900	47.0	46.0	37.0	0.0	3.0
21950	44.0	50.0	33.0	0.0	6.0
22000	45.0	44.0	15.0	0.0	1.0
22050	45.0	48.0	27.0	0.0	5.0
22100	50.0	49.0	44.0	0.0	1.0
22150	48.0	49.0	26.0	1.0	1.0
22200	47.0	40.0	2.0	8.0	11.0
22250	7.0	48.0	7.0	0.0	0.0
22300	36.0	47.0	20.0	0.0	1.0
22350	0.0	48.0	0.0	0.0	0.0
22400	0.0	50.0	0.0	0.0	0.0
22450	0.0	45.0	0.0	0.0	0.0
22500	0.0	46.0	0.0	0.0	1.0
22550	16.0	46.0	9.0	0.0	0.0
22600	46.0	49.0	40.0	0.0	16.0
22650	48.0	49.0	18.0	0.0	6.0
22700	44.0	43.0	32.0	0.0	10.0
22750	46.0	48.0	41.0	0.0	3.0
22800	47.0	49.0	37.0	0.0	0.0
22850	43.0	46.0	26.0	0.0	0.0
22900	48.0	50.0	38.0	0.0	0.0
22950	49.0	49.0	21.0	0.0	1.0
23000	49.0	43.0	30.0	0.0	0.0
23050	49.0	50.0	14.0	0.0	9.0
23100	45.0	49.0	32.0	0.0	6.0
23150	45.0	5.0	1.0	0.0	1.0
23200	48.0	0.0	0.0	0.0	0.0
23250	45.0	0.0	0.0	0.0	0.0
23300	50.0	0.0	0.0	0.0	0.0
23350	49.0	0.0	0.0	0.0	0.0
23400	43.0	0.0	0.0	0.0	0.0
23450	48.0	0.0	0.0	0.0	0.0
23500	46.0	0.0	0.0	0.0	0.0
23550	50.0	0.0	0.0	0.0	0.0
23600	39.0	0.0	0.0	0.0	0.0
23650	40.0	0.0	0.0	0.0	0.0
23700	34.0	0.0	0.0	0.0	0.0
23750	47.0	0.0	0.0	0.0	0.0
23800	48.0	0.0	0.0	0.0	0.0
23850	44.0	0.0	0.0	0.0	0.0
23900	50.0	0.0	0.0	0.0	0.0
23950	50.0	0.0	0.0	0.0	0.0
24000	50.0	0.0	0.0	0.0	0.0
24050	49.0	0.0	0.0	0.0	0.0
24100	49.0	0.0	0.0	0.0	0.0
24150	50.0	0.0	0.0	0.0	0.0
24200	50.0	0.0	0.0	0.0	0.0
24250	48.0	0.0	0.0	0.0	0.0
24300	47.0	0.0	0.0	0.0	0.0
24350	21.0	0.0	0.0	0.0	0.0
24400	29.0	0.0	0.0	0.0	0.0
24450	50.0	0.0	0.0	0.0	0.0
24500	49.0	0.0	0.0	0.0	0.0
24550	47.0	0.0	0.0	0.0	0.0
24600	50.0	0.0	0.0	0.0	0.0
24650	50.0	0.0	0.0	0.0	0.0
24700	49.0	0.0	0.0	0.0	0.0
24750	50.0	0.0	0.0	0.0	0.0
24800	47.0	0.0	0.0	0.0	0.0
24850	47.0	0.0	0.0	0.0	0.0
24900	46.0	0.0	0.0	0.0	0.0
24950	46.0	0.0	0.0	0.0	0.0
25000	45.0	0.0	0.0	0.0	0.0
25050	47.0	0.0	0.0	0.0	0.0
25100	45.0	0.0	0.0	0.0	0.0
25150	20.0	0.0	0.0	0.0	0.0
25200	33.0	0.0	0.0	0.0	0.0
25250	28.0	0.0	0.0	0.0	0.0
25300	46.0	0.0	0.0	0.0	0.0
25350	48.0	0.0	0.0	0.0	0.0
25400	49.0	0.0	0.0	0.0	0.0
25450	48.0	0.0	0.0	0.0	0.0
25500	50.0	0.0	0.0	0.0	0.0
25550	46.0	0.0	0.0	0.0	0.0
25600	49.0	0.0	0.0	0.0	0.0
25650	47.0	0.0	0.0	0.0	0.0
25700	20.0	0.0	0.0	0.0	0.0
25750	0.0	0.0	0.0	0.0	0.0
25800	0.0	0.0	0.0	0.0	0.0
25850	0.0	0.0	0.0	0.0	0.0
25900	23.0	0.0	0.0	0.0	0.0
25950	50.0	0.0	0.0	0.0	0.0
26000	40.0	0.0	0.0	0.0	0.0
26050	46.0	0.0	0.0	0.0	0.0
