taxon	present_in
GWE2-39-37	gtdb_only
GWF2-33-10	gtdb_only
GWF2-33-38	gtdb_only
GWF2-35-48	gtdb_only
GWF2-38-335	gtdb_only
GWF2-38-69	gtdb_only
GWF2-40-263	gtdb_only
GWF2-50-93	gtdb_only
Geitlerinemaceae	gtdb_only
Gemellaceae	gtdb_only
Geothermincolaceae	gtdb_only
Ghiorseimicrobiaceae	gtdb_only
Gloeobacteraceae	gtdb_only
Gloeocapsaceae	gtdb_only
Gloeomargaritaceae	gtdb_only
Gp1-AA112	gtdb_only
Gp1-AA117	gtdb_only
Gp22-AA2	gtdb_only
Gp7-AA6	gtdb_only
Gp7-AA8	gtdb_only
H02-43-30	gtdb_only
H02-45-28	gtdb_only
H5-PLA8	gtdb_only
HGM11327	gtdb_only
HGM11417	gtdb_only
HGM11501	gtdb_only
HGM11507	gtdb_only
HGM11514	gtdb_only
HIMB59	gtdb_only
HK1	gtdb_only
HKB111	gtdb_only
HKI-0501	gtdb_only
HO2-37-13b	gtdb_only
HO2-48-17	gtdb_only
HO2-52-23	gtdb_only
HR10	gtdb_only
HR35	gtdb_only
HRBIN11	gtdb_only
HRBIN12	gtdb_only
HRBIN23	gtdb_only
HRBIN36	gtdb_only
HRbin24	gtdb_only
HTCC2089_A	gtdb_only
HTCC5015	gtdb_only
HXMU1428-3	gtdb_only
Halofilaceae	gtdb_only
Haloplasmataceae	gtdb_only
Hepatoplasmataceae	gtdb_only
Herpetosiphonaceae	gtdb_only
Holosporaceae	gtdb_only
Hydrogenedentaceae	gtdb_only
Hymenobacteraceae	gtdb_only
Hyphomicrobiaceae	gtdb_only
IGHO2-01-FULL-4-A	gtdb_only
IGHO2-12-FULL-4	gtdb_only
IMCC26256	gtdb_only
Im1	gtdb_only
Isosphaeraceae	gtdb_only
Izemoplasmataceae	gtdb_only
J016	gtdb_only
J027	gtdb_only
J036	gtdb_only
J040	gtdb_only
J050	gtdb_only
J057	gtdb_only
J089	gtdb_only
J102	gtdb_only
J119	gtdb_only
J135	gtdb_only
J137	gtdb_only
JAABPS01	gtdb_only
JAABRJ01	gtdb_only
JAABSP01	gtdb_only
JAACEG01	gtdb_only
JAACPR01	gtdb_only
JAADDB01	gtdb_only
JAADDL01	gtdb_only
JAADED01	gtdb_only
JAADEI01	gtdb_only
JAADFJ01	gtdb_only
JAADFP01	gtdb_only
JAADGE01	gtdb_only
JAADGX01	gtdb_only
JAADGY01	gtdb_only
JAADHQ01	gtdb_only
JAADHT01	gtdb_only
JAADJA01	gtdb_only
JAAEKA01	gtdb_only
JAAFIG01	gtdb_only
JAAKFR01	gtdb_only
JAANXG01	gtdb_only
JAANXI01	gtdb_only
JAAUTT01	gtdb_only
JAAUUE01	gtdb_only
JAAXGF01	gtdb_only
JAAXHH01	gtdb_only
JAAXUF01	gtdb_only
JAAYBP01	gtdb_only
JAAYEA01	gtdb_only
JAAYJT01	gtdb_only
JAAYKD01	gtdb_only
JAAYLN01	gtdb_only
JAAYNR01	gtdb_only
JAAYOS01	gtdb_only
JAAYUB01	gtdb_only
JAAYUG01	gtdb_only
JAAYUI01	gtdb_only
JAAYUY01	gtdb_only
JAAYXM01	gtdb_only
JAAYZQ01	gtdb_only
JAAZCA01	gtdb_only
JAAZHW01	gtdb_only
JAAZOP01	gtdb_only
JAAZZY01	gtdb_only
JABAAK01	gtdb_only
JABAAW01	gtdb_only
JABAAY01	gtdb_only
JABCYS01	gtdb_only
JABCZS01	gtdb_only
JABDAW01	gtdb_only
JABDBI01	gtdb_only
JABDEC01	gtdb_only
JABDET01	gtdb_only
JABDFU01	gtdb_only
JABDGN01	gtdb_only
JABDKH01	gtdb_only
JABDKJ01	gtdb_only
JABDMI01	gtdb_only
JABDQB01	gtdb_only
JABEUL01	gtdb_only
JABHMO01	gtdb_only
JABIPA01	gtdb_only
JABIRX01	gtdb_only
JABJCN01	gtdb_only
JABLXH01	gtdb_only
JABMNX01	gtdb_only
JABMPJ01	gtdb_only
JABMPQ01	gtdb_only
JABMQE01	gtdb_only
JABMQR01	gtdb_only
JABMRG01	gtdb_only
JABMRJ01	gtdb_only
JABMRT01	gtdb_only
JABSOH01	gtdb_only
JABSQK01	gtdb_only
JABSSG01	gtdb_only
JABURT01	gtdb_only
JABWAM01	gtdb_only
JABWAT01	gtdb_only
JABWBV01	gtdb_only
JABWCH01	gtdb_only
JACABE01	gtdb_only
JACAEB01	gtdb_only
JACCXJ01	gtdb_only
JACCYU01	gtdb_only
JACDBH01	gtdb_only
JACDCH01	gtdb_only
JACDEA01	gtdb_only
JACDFO01	gtdb_only
JACIWP01	gtdb_only
JACIWR01	gtdb_only
JACIXR01	gtdb_only
JACJYZ01	gtdb_only
JACKAF01	gtdb_only
JACKDQ01	gtdb_only
JACKKN01	gtdb_only
JACKNK01	gtdb_only
JACKPQ01	gtdb_only
JACMKV01	gtdb_only
JACMRA01	gtdb_only
JACNGX01	gtdb_only
JACOND01	gtdb_only
JACORV01	gtdb_only
JACOVV01	gtdb_only
JACOXK01	gtdb_only
JACOZG01	gtdb_only
JACPAL01	gtdb_only
JACPAU01	gtdb_only
JACPCL1	gtdb_only
JACPES01	gtdb_only
JACPFF01	gtdb_only
JACPGU01	gtdb_only
JACPKC01	gtdb_only
JACPNS01	gtdb_only
JACPOV01	gtdb_only
JACPPY01	gtdb_only
JACPQK01	gtdb_only
JACPRB01	gtdb_only
JACPRK01	gtdb_only
JACPRP01	gtdb_only
JACPUW01	gtdb_only
JACPWG01	gtdb_only
JACPWU01	gtdb_only
JACPZF01	gtdb_only
JACQAP01	gtdb_only
JACQBZ01	gtdb_only
JACQCQ01	gtdb_only
JACQDG01	gtdb_only
JACQJN01	gtdb_only
JACQLI01	gtdb_only
JACQLN01	gtdb_only
JACQPE01	gtdb_only
JACQQZ01	gtdb_only
JACQRZ01	gtdb_only
JACQSX01	gtdb_only
JACQTH01	gtdb_only
JACQVA1	gtdb_only
JACQXL01	gtdb_only
JACQXS01	gtdb_only
JACQYG01	gtdb_only
JACQZI01	gtdb_only
JACRBE01	gtdb_only
JACRBR01	gtdb_only
JACRDR01	gtdb_only
JACRDZ01	gtdb_only
JACRGW01	gtdb_only
JACRHJ01	gtdb_only
JACRHW01	gtdb_only
JACRIC01	gtdb_only
JACRJZ01	gtdb_only
JACRKE01	gtdb_only
JACRMK01	gtdb_only
JACROR01	gtdb_only
JACROU01	gtdb_only
JACTMZ01	gtdb_only
JACVQG01	gtdb_only
JACZKS01	gtdb_only
JACZSL01	gtdb_only
JADFVX01	gtdb_only
JADFVY01	gtdb_only
JADGBV01	gtdb_only
JADGCS01	gtdb_only
JADGDT01	gtdb_only
JADIYM01	gtdb_only
JADIYW01	gtdb_only
JADJOU01	gtdb_only
JADJPF01	gtdb_only
JADJQN01	gtdb_only
JADKAF01	gtdb_only
JADKCL01	gtdb_only
JADMIN01	gtdb_only
JADZBD01	gtdb_only
JAEDCM01	gtdb_only
JAENIV01	gtdb_only
JAENJC01	gtdb_only
JAENVV01	gtdb_only
JAEUHO01	gtdb_only
JAEUJM01	gtdb_only
JAEUJZ01	gtdb_only
JAEUKQ01	gtdb_only
JAEUMW01	gtdb_only
JAEYWL01	gtdb_only
JAEYXS01	gtdb_only
JAEZPW01	gtdb_only
JAFAIN01	gtdb_only
JAFAMB01	gtdb_only
JAFAQI01	gtdb_only
JAFDMD01	gtdb_only
JAFEGQ01	gtdb_only
JAFGAQ01	gtdb_only
