taxon	present_in
UBA817	gtdb_only
UBA8260	gtdb_only
UBA828	gtdb_only
UBA8890	gtdb_only
UBA890	gtdb_only
UBA8919	gtdb_only
UBA9042	gtdb_only
UBA9088	gtdb_only
UBA920	gtdb_only
UBA9214	gtdb_only
UBA9217	gtdb_only
UBA9339	gtdb_only
UBA9570	gtdb_only
UBA9629	gtdb_only
UBA9655	gtdb_only
UBA995	gtdb_only
UBA9983	gtdb_only
UBA9983_A	gtdb_only
UCB3	gtdb_only
UM-FILTER-40-11	gtdb_only
UM-FILTER-42-10	gtdb_only
UM-FILTER-43-11	gtdb_only
UMGS1810	gtdb_only
UMGS1840	gtdb_only
UMGS1883	gtdb_only
Uabimicrobiales	gtdb_only
VGIX01	gtdb_only
VGKH01	gtdb_only
VGKN01	gtdb_only
VXMN01	gtdb_only
VXOZ01	gtdb_only
VXPW01	gtdb_only
Veblenbacterales	gtdb_only
Veillonellales	gtdb_only
Velamenicoccales	gtdb_only
Verrucomicrobiales	gtdb_only
WGAB01	gtdb_only
WRAU01	gtdb_only
WRKU01	gtdb_only
WVWN01	gtdb_only
WVXP01	gtdb_only
WVXT01	gtdb_only
WVZY01	gtdb_only
Woykebacterales	gtdb_only
XJ16	gtdb_only
XYA2-FULL-43-10	gtdb_only
XYB2-FULL-38-15	gtdb_only
XYC2-FULL-46-14	gtdb_only
Zapsychrales	gtdb_only
Zymogenales	gtdb_only
JAJRTO01	flagella_only
